Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
0,67.95452065957147,67.95452065957147,67.95452065957147,157.6698811441803,154.07489611464737,151.27549329837908
1,41.445708094929294,64.32064736667144,65.1529024863699,87.61929569580712,113.19830258127566,129.55679501413726
2,32.356545633435616,59.968410714435734,62.61190063216963,53.537964462051406,93.73717720406316,114.97686323768093
3,29.1653364245942,54.876901538595384,57.783925052714174,39.9420686765768,81.53930961072126,103.72345635582761
4,28.02997472821379,49.75846854307802,54.727974302858414,33.48372471743168,73.56143804904983,95.0868402930672
5,27.541837171752306,44.81651854040641,50.03641883400252,30.363901726872044,66.47594368133667,88.55826661085823
6,27.3925120597039,40.307689697567426,47.01978699366944,28.91316454807658,60.43444857868031,81.62907197729781
7,27.323510142484306,36.20915245041429,44.28270986020497,28.224336860541143,54.668629983156634,76.15977312507965
8,27.27988254781287,31.7916125893642,40.782196264441446,27.81133610654537,49.61345896097725,70.79045581275388
9,27.258087911858894,28.468571808631363,37.704207433135245,27.601682882934107,44.95908896656797,66.09082988439204
10,27.230834071783235,26.139058457058045,35.509178949180615,27.473391512710986,40.786166421119596,62.152178762630676
11,27.189180261478313,23.87524109580214,32.69998962507905,27.39588421341926,37.17285173241144,57.790022984183054
12,27.155701169189374,21.9043849955138,30.602303874184823,27.340767029642237,33.8834198594069,53.67991570415197
13,27.116862960592293,20.37426050402231,28.326211575662484,27.29953407434331,31.015624028923327,50.163704042643964
14,27.084787806502096,18.296981274595137,26.546683761116903,27.264561225162943,28.368084606368516,46.878834728950025
15,27.05631015679879,16.953596979986756,24.595469932451728,27.233900225151935,26.167520280647324,44.00782843863753
16,27.029838874587863,15.595326790762863,23.341545659846105,27.204272479642277,24.246988916009126,41.26445558803513
17,26.99404352727419,14.535621262937731,21.90004190120229,27.170702911785884,22.36069275547006,38.73946962214477
18,26.95694867253271,13.597636805180878,20.557074527962186,27.140948025371884,20.69866003331576,36.34088647292625
